freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
2.08930,314.485E-12,259.743E-12,223.419E-12,207.840E-12,216.675E-12
2.13796,310.908E-12,256.812E-12,220.942E-12,205.613E-12,214.460E-12
2.18776,307.372E-12,253.915E-12,218.494E-12,203.412E-12,212.273E-12
2.23872,303.877E-12,251.051E-12,216.075E-12,201.238E-12,210.114E-12
2.29087,300.422E-12,248.221E-12,213.685E-12,199.091E-12,207.983E-12
2.34423,297.008E-12,245.424E-12,211.323E-12,196.970E-12,205.879E-12
2.39883,293.632E-12,242.659E-12,208.989E-12,194.875E-12,203.801E-12
2.45471,290.295E-12,239.927E-12,206.683E-12,192.806E-12,201.750E-12
2.51189,286.997E-12,237.226E-12,204.404E-12,190.763E-12,199.726E-12
2.57040,283.737E-12,234.557E-12,202.153E-12,188.744E-12,197.728E-12
2.63027,280.515E-12,231.919E-12,199.928E-12,186.750E-12,195.755E-12
2.69153,277.329E-12,229.311E-12,197.729E-12,184.781E-12,193.808E-12
2.75423,274.181E-12,226.734E-12,195.557E-12,182.836E-12,191.886E-12
2.81838,271.069E-12,224.187E-12,193.410E-12,180.915E-12,189.989E-12
2.88403,267.992E-12,221.670E-12,191.289E-12,179.018E-12,188.117E-12
2.95121,264.952E-12,219.182E-12,189.193E-12,177.145E-12,186.269E-12
3.01995,261.946E-12,216.723E-12,187.123E-12,175.295E-12,184.446E-12
3.09030,258.975E-12,214.293E-12,185.077E-12,173.468E-12,182.646E-12
3.16228,256.038E-12,211.891E-12,183.056E-12,171.664E-12,180.870E-12
3.23594,253.136E-12,209.518E-12,181.059E-12,169.882E-12,179.117E-12
3.31131,250.267E-12,207.172E-12,179.085E-12,168.123E-12,177.388E-12
3.38844,247.431E-12,204.853E-12,177.136E-12,166.385E-12,175.681E-12
3.46737,244.627E-12,202.562E-12,175.210E-12,164.670E-12,173.998E-12
3.54813,241.857E-12,200.297E-12,173.307E-12,162.976E-12,172.336E-12
3.63078,239.118E-12,198.059E-12,171.427E-12,161.304E-12,170.697E-12
3.71535,236.411E-12,195.847E-12,169.569E-12,159.652E-12,169.080E-12
3.80189,233.735E-12,193.662E-12,167.734E-12,158.022E-12,167.484E-12
3.89045,231.091E-12,191.502E-12,165.921E-12,156.412E-12,165.910E-12
3.98107,228.477E-12,189.367E-12,164.131E-12,154.823E-12,164.358E-12
4.07380,225.893E-12,187.257E-12,162.361E-12,153.254E-12,162.826E-12
4.16869,223.339E-12,185.172E-12,160.614E-12,151.705E-12,161.315E-12
4.26580,220.815E-12,183.112E-12,158.887E-12,150.176E-12,159.825E-12
4.36516,218.320E-12,181.076E-12,157.182E-12,148.666E-12,158.355E-12
4.46684,215.854E-12,179.063E-12,155.497E-12,147.176E-12,156.905E-12
4.57088,213.416E-12,177.075E-12,153.832E-12,145.705E-12,155.475E-12
4.67735,211.007E-12,175.110E-12,152.188E-12,144.253E-12,154.065E-12
4.78630,208.626E-12,173.168E-12,150.565E-12,142.820E-12,152.675E-12
4.89779,206.272E-12,171.249E-12,148.960E-12,141.406E-12,151.303E-12
5.01187,203.946E-12,169.353E-12,147.376E-12,140.010E-12,149.951E-12
5.12861,201.647E-12,167.479E-12,145.811E-12,138.632E-12,148.618E-12
5.24807,199.374E-12,165.628E-12,144.265E-12,137.272E-12,147.303E-12
5.37032,197.128E-12,163.798E-12,142.739E-12,135.930E-12,146.007E-12
5.49541,194.909E-12,161.990E-12,141.231E-12,134.605E-12,144.729E-12
5.62341,192.714E-12,160.203E-12,139.741E-12,133.298E-12,143.470E-12
5.75440,190.546E-12,158.438E-12,138.270E-12,132.008E-12,142.228E-12
5.88844,188.403E-12,156.694E-12,136.818E-12,130.735E-12,141.004E-12
6.02560,186.284E-12,154.970E-12,135.383E-12,129.480E-12,139.797E-12
6.16595,184.191E-12,153.267E-12,133.966E-12,128.240E-12,138.608E-12
6.30957,182.121E-12,151.584E-12,132.567E-12,127.018E-12,137.436E-12
6.45654,180.076E-12,149.921E-12,131.185E-12,125.811E-12,136.280E-12
6.60693,178.055E-12,148.278E-12,129.821E-12,124.621E-12,135.142E-12
6.76083,176.057E-12,146.655E-12,128.473E-12,123.447E-12,134.020E-12
6.91831,174.083E-12,145.051E-12,127.142E-12,122.289E-12,132.915E-12
7.07946,172.132E-12,143.466E-12,125.828E-12,121.146E-12,131.825E-12
7.24436,170.203E-12,141.901E-12,124.531E-12,120.019E-12,130.752E-12
7.41310,168.297E-12,140.354E-12,123.250E-12,118.908E-12,129.695E-12
7.58578,166.414E-12,138.825E-12,121.985E-12,117.811E-12,128.653E-12
7.76247,164.552E-12,137.315E-12,120.736E-12,116.729E-12,127.627E-12
7.94328,162.712E-12,135.823E-12,119.503E-12,115.663E-12,126.616E-12
8.12831,160.894E-12,134.349E-12,118.285E-12,114.611E-12,125.620E-12
8.31764,159.097E-12,132.893E-12,117.083E-12,113.573E-12,124.639E-12
8.51138,157.321E-12,131.454E-12,115.897E-12,112.550E-12,123.673E-12
8.70964,155.566E-12,130.033E-12,114.725E-12,111.541E-12,122.722E-12
8.91251,153.832E-12,128.629E-12,113.569E-12,110.546E-12,121.785E-12
9.12011,152.118E-12,127.242E-12,112.427E-12,109.565E-12,120.863E-12
9.33254,150.424E-12,125.872E-12,111.300E-12,108.598E-12,119.954E-12
9.54993,148.750E-12,124.518E-12,110.187E-12,107.645E-12,119.060E-12
9.77237,147.096E-12,123.181E-12,109.089E-12,106.705E-12,118.179E-12
10.0000,145.461E-12,121.860E-12,108.005E-12,105.778E-12,117.312E-12
10.2329,143.846E-12,120.555E-12,106.935E-12,104.864E-12,116.459E-12
10.4713,142.249E-12,119.266E-12,105.880E-12,103.964E-12,115.619E-12
10.7152,140.671E-12,117.993E-12,104.837E-12,103.076E-12,114.792E-12
10.9648,139.112E-12,116.735E-12,103.809E-12,102.201E-12,113.978E-12
11.2202,137.572E-12,115.493E-12,102.794E-12,101.339E-12,113.177E-12
11.4815,136.050E-12,114.266E-12,101.792E-12,100.489E-12,112.389E-12
11.7490,134.545E-12,113.054E-12,100.803E-12,99.6519E-12,111.613E-12
12.0226,133.059E-12,111.856E-12,99.8277E-12,98.8267E-12,110.849E-12
12.3027,131.590E-12,110.674E-12,98.8650E-12,98.0135E-12,110.098E-12
12.5893,130.138E-12,109.506E-12,97.9151E-12,97.2123E-12,109.359E-12
12.8825,128.704E-12,108.353E-12,96.9779E-12,96.4229E-12,108.632E-12
13.1826,127.287E-12,107.214E-12,96.0531E-12,95.6452E-12,107.917E-12
13.4896,125.886E-12,106.089E-12,95.1408E-12,94.8790E-12,107.214E-12
13.8038,124.503E-12,104.978E-12,94.2406E-12,94.1243E-12,106.522E-12
14.1254,123.135E-12,103.881E-12,93.3526E-12,93.3808E-12,105.841E-12
14.4544,121.784E-12,102.797E-12,92.4765E-12,92.6485E-12,105.172E-12
14.7911,120.450E-12,101.727E-12,91.6123E-12,91.9272E-12,104.514E-12
15.1356,119.131E-12,100.671E-12,90.7598E-12,91.2168E-12,103.866E-12
15.4882,117.828E-12,99.6273E-12,89.9189E-12,90.5173E-12,103.230E-12
15.8489,116.540E-12,98.5970E-12,89.0895E-12,89.8283E-12,102.604E-12
16.2181,115.268E-12,97.5796E-12,88.2714E-12,89.1499E-12,101.989E-12
16.5959,114.011E-12,96.5750E-12,87.4646E-12,88.4820E-12,101.384E-12
16.9824,112.769E-12,95.5831E-12,86.6688E-12,87.8243E-12,100.789E-12
17.3780,111.542E-12,94.6037E-12,85.8841E-12,87.1768E-12,100.205E-12
17.7828,110.330E-12,93.6367E-12,85.1102E-12,86.5394E-12,99.6302E-12
18.1970,109.132E-12,92.6820E-12,84.3471E-12,85.9119E-12,99.0656E-12
18.6209,107.949E-12,91.7394E-12,83.5946E-12,85.2942E-12,98.5107E-12
19.0546,106.780E-12,90.8089E-12,82.8527E-12,84.6862E-12,97.9654E-12
19.4984,105.626E-12,89.8902E-12,82.1211E-12,84.0879E-12,97.4295E-12
19.9526,104.485E-12,88.9832E-12,81.3999E-12,83.4990E-12,96.9030E-12
20.4174,103.358E-12,88.0879E-12,80.6888E-12,82.9194E-12,96.3857E-12
20.8930,102.244E-12,87.2040E-12,79.9879E-12,82.3492E-12,95.8774E-12
21.3796,101.145E-12,86.3316E-12,79.2969E-12,81.7880E-12,95.3781E-12
21.8776,100.058E-12,85.4704E-12,78.6157E-12,81.2359E-12,94.8877E-12
22.3872,98.9848E-12,84.6203E-12,77.9444E-12,80.6927E-12,94.4059E-12
22.9087,97.9246E-12,83.7813E-12,77.2826E-12,80.1583E-12,93.9327E-12
23.4423,96.8773E-12,82.9531E-12,76.6304E-12,79.6327E-12,93.4680E-12
23.9883,95.8428E-12,82.1358E-12,75.9877E-12,79.1156E-12,93.0116E-12
24.5471,94.8209E-12,81.3291E-12,75.3543E-12,78.6070E-12,92.5635E-12
25.1189,93.8115E-12,80.5329E-12,74.7301E-12,78.1067E-12,92.1234E-12
25.7040,92.8145E-12,79.7472E-12,74.1150E-12,77.6148E-12,91.6913E-12
26.3027,91.8298E-12,78.9719E-12,73.5090E-12,77.1310E-12,91.2670E-12
26.9153,90.8571E-12,78.2068E-12,72.9119E-12,76.6552E-12,90.8505E-12
27.5423,89.8964E-12,77.4517E-12,72.3236E-12,76.1875E-12,90.4417E-12
28.1838,88.9476E-12,76.7067E-12,71.7441E-12,75.7276E-12,90.0403E-12
28.8403,88.0105E-12,75.9716E-12,71.1732E-12,75.2754E-12,89.6464E-12
29.5121,87.0850E-12,75.2463E-12,70.6108E-12,74.8309E-12,89.2597E-12
30.1995,86.1709E-12,74.5307E-12,70.0569E-12,74.3939E-12,88.8802E-12
30.9030,85.2682E-12,73.8246E-12,69.5113E-12,73.9644E-12,88.5078E-12
31.6228,84.3767E-12,73.1281E-12,68.9739E-12,73.5423E-12,88.1423E-12
32.3594,83.4963E-12,72.4409E-12,68.4448E-12,73.1274E-12,87.7837E-12
33.1131,82.6268E-12,71.7630E-12,67.9236E-12,72.7197E-12,87.4318E-12
33.8844,81.7683E-12,71.0943E-12,67.4105E-12,72.3190E-12,87.0866E-12
34.6737,80.9204E-12,70.4347E-12,66.9052E-12,71.9253E-12,86.7479E-12
35.4813,80.0832E-12,69.7841E-12,66.4077E-12,71.5384E-12,86.4156E-12
36.3078,79.2565E-12,69.1424E-12,65.9180E-12,71.1584E-12,86.0896E-12
37.1535,78.4403E-12,68.5095E-12,65.4358E-12,70.7850E-12,85.7699E-12
38.0189,77.6343E-12,67.8852E-12,64.9611E-12,70.4182E-12,85.4563E-12
38.9045,76.8384E-12,67.2696E-12,64.4939E-12,70.0578E-12,85.1487E-12
39.8107,76.0527E-12,66.6626E-12,64.0340E-12,69.7039E-12,84.8470E-12
40.7380,75.2769E-12,66.0639E-12,63.5814E-12,69.3563E-12,84.5512E-12
41.6869,74.5110E-12,65.4736E-12,63.1359E-12,69.0150E-12,84.2611E-12
42.6580,73.7548E-12,64.8915E-12,62.6975E-12,68.6797E-12,83.9766E-12
43.6516,73.0083E-12,64.3176E-12,62.2661E-12,68.3505E-12,83.6977E-12
44.6684,72.2713E-12,63.7518E-12,61.8417E-12,68.0273E-12,83.4242E-12
45.7088,71.5437E-12,63.1939E-12,61.4240E-12,67.7099E-12,83.1560E-12
46.7735,70.8255E-12,62.6440E-12,61.0131E-12,67.3983E-12,82.8932E-12
47.8630,70.1166E-12,62.1019E-12,60.6089E-12,67.0924E-12,82.6355E-12
48.9779,69.4168E-12,61.5675E-12,60.2112E-12,66.7921E-12,82.3829E-12
50.1187,68.7260E-12,61.0407E-12,59.8201E-12,66.4973E-12,82.1353E-12
51.2861,68.0442E-12,60.5215E-12,59.4353E-12,66.2080E-12,81.8926E-12
52.4807,67.3712E-12,60.0098E-12,59.0569E-12,65.9240E-12,81.6548E-12
53.7032,66.7070E-12,59.5055E-12,58.6847E-12,65.6453E-12,81.4216E-12
54.9541,66.0514E-12,59.0085E-12,58.3188E-12,65.3719E-12,81.1932E-12
