VCE ,beta VBE 0.6 N 1 ,beta VBE 0.6 N 2 ,beta VBE 0.6 N 3 ,beta VBE 0.6 N 4 ,beta VBE 0.6 N 5 ,beta VBE 0.6 N 6 ,beta VBE 0.6 N 7 ,beta VBE 0.6 N 8 ,beta VBE 0.6 N 9 ,beta VBE 0.6 N 10 ,beta VBE 0.65 N 1 ,beta VBE 0.65 N 2 ,beta VBE 0.65 N 3 ,beta VBE 0.65 N 4 ,beta VBE 0.65 N 5 ,beta VBE 0.65 N 6 ,beta VBE 0.65 N 7 ,beta VBE 0.65 N 8 ,beta VBE 0.65 N 9 ,beta VBE 0.65 N 10 ,beta VBE 0.7 N 1 ,beta VBE 0.7 N 2 ,beta VBE 0.7 N 3 ,beta VBE 0.7 N 4 ,beta VBE 0.7 N 5 ,beta VBE 0.7 N 6 ,beta VBE 0.7 N 7 ,beta VBE 0.7 N 8 ,beta VBE 0.7 N 9 ,beta VBE 0.7 N 10 ,beta VBE 0.75 N 1 ,beta VBE 0.75 N 2 ,beta VBE 0.75 N 3 ,beta VBE 0.75 N 4 ,beta VBE 0.75 N 5 ,beta VBE 0.75 N 6 ,beta VBE 0.75 N 7 ,beta VBE 0.75 N 8 ,beta VBE 0.75 N 9 ,beta VBE 0.75 N 10 ,beta VBE 0.8 N 1 ,beta VBE 0.8 N 2 ,beta VBE 0.8 N 3 ,beta VBE 0.8 N 4 ,beta VBE 0.8 N 5 ,beta VBE 0.8 N 6 ,beta VBE 0.8 N 7 ,beta VBE 0.8 N 8 ,beta VBE 0.8 N 9 ,beta VBE 0.8 N 10 
330.000E-3,732.649,740.412,743.036,744.355,745.149,745.679,746.058,746.342,746.564,746.741,729.554,730.923,731.380,731.609,731.747,731.838,731.904,731.953,731.991,732.021,677.308,677.520,677.591,677.626,677.647,677.661,677.672,677.679,677.685,677.690,600.585,600.616,600.627,600.632,600.635,600.637,600.638,600.639,600.640,600.641,473.624,473.628,473.630,473.630,473.631,473.631,473.631,473.631,473.631,473.631
335.000E-3,732.768,740.488,743.097,744.409,745.198,745.725,746.102,746.385,746.605,746.782,729.602,730.964,731.419,731.647,731.783,731.875,731.940,731.988,732.026,732.057,677.346,677.558,677.628,677.663,677.684,677.698,677.708,677.716,677.722,677.727,600.653,600.683,600.694,600.699,600.702,600.704,600.705,600.706,600.707,600.708,474.173,474.177,474.179,474.179,474.180,474.180,474.180,474.180,474.180,474.180
340.000E-3,732.882,740.559,743.154,744.458,745.243,745.767,746.142,746.423,746.642,746.817,729.645,731.000,731.453,731.679,731.815,731.906,731.971,732.019,732.057,732.087,677.380,677.590,677.660,677.695,677.716,677.730,677.740,677.748,677.754,677.758,600.714,600.745,600.755,600.760,600.763,600.765,600.766,600.768,600.768,600.769,474.698,474.702,474.703,474.704,474.704,474.705,474.705,474.705,474.705,474.705
345.000E-3,732.993,740.627,743.207,744.504,745.284,745.805,746.178,746.457,746.675,746.849,729.684,731.032,731.482,731.707,731.843,731.933,731.997,732.046,732.083,732.113,677.409,677.618,677.688,677.723,677.744,677.758,677.768,677.776,677.781,677.786,600.770,600.801,600.811,600.816,600.819,600.821,600.823,600.824,600.825,600.825,475.200,475.204,475.206,475.206,475.207,475.207,475.207,475.207,475.207,475.208
350.000E-3,733.100,740.691,743.257,744.546,745.322,745.840,746.210,746.488,746.705,746.878,729.719,731.060,731.508,731.732,731.867,731.957,732.021,732.069,732.106,732.136,677.435,677.643,677.713,677.748,677.769,677.782,677.792,677.800,677.806,677.810,600.823,600.853,600.863,600.868,600.871,600.873,600.875,600.876,600.877,600.877,475.681,475.685,475.687,475.687,475.688,475.688,475.688,475.688,475.688,475.688
355.000E-3,733.205,740.753,743.304,744.586,745.357,745.872,746.240,746.517,746.732,746.904,729.752,731.085,731.531,731.754,731.888,731.977,732.041,732.089,732.126,732.156,677.458,677.666,677.735,677.769,677.790,677.804,677.814,677.821,677.827,677.832,600.871,600.902,600.912,600.917,600.920,600.922,600.923,600.924,600.925,600.926,476.142,476.146,476.147,476.148,476.148,476.149,476.149,476.149,476.149,476.149
360.000E-3,733.308,740.813,743.349,744.623,745.390,745.902,746.268,746.543,746.757,746.928,729.782,731.109,731.552,731.774,731.907,731.996,732.059,732.107,732.144,732.174,677.479,677.685,677.754,677.789,677.809,677.823,677.833,677.840,677.846,677.851,600.917,600.947,600.957,600.962,600.965,600.967,600.969,600.970,600.971,600.971,476.584,476.588,476.589,476.590,476.590,476.590,476.591,476.591,476.591,476.591
365.000E-3,733.409,740.871,743.392,744.659,745.421,745.930,746.294,746.567,746.780,746.950,729.810,731.130,731.571,731.792,731.924,732.012,732.076,732.123,732.160,732.189,677.498,677.703,677.772,677.806,677.827,677.840,677.850,677.857,677.863,677.868,600.960,600.990,601.000,601.005,601.008,601.010,601.011,601.012,601.013,601.014,477.007,477.011,477.013,477.013,477.014,477.014,477.014,477.014,477.014,477.014
370.000E-3,733.508,740.927,743.433,744.693,745.451,745.957,746.319,746.590,746.802,746.971,729.837,731.150,731.588,731.808,731.940,732.027,732.090,732.137,732.174,732.203,677.515,677.719,677.788,677.822,677.842,677.856,677.866,677.873,677.879,677.883,601.001,601.030,601.040,601.045,601.048,601.050,601.052,601.053,601.054,601.054,477.414,477.418,477.419,477.420,477.420,477.420,477.420,477.421,477.421,477.421
375.000E-3,733.607,740.982,743.474,744.726,745.479,745.982,746.342,746.612,746.822,746.990,729.862,731.168,731.604,731.823,731.954,732.041,732.104,732.150,732.187,732.216,677.531,677.734,677.802,677.836,677.856,677.870,677.880,677.887,677.893,677.897,601.039,601.069,601.079,601.084,601.087,601.089,601.090,601.091,601.092,601.093,477.804,477.808,477.809,477.810,477.810,477.810,477.810,477.811,477.811,477.811
